Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
delta_f                                            0.075976                      0.099432
gamma_EV_rangeanxiety_f                            0.088054                      0.134425
gamma_risktaker_f                                 -0.117265                     -0.013984
gamma_hhincome_f                                  -0.024856                      0.049963
gamma_ev_charge_f                                 -0.041141                      0.007536
gamma_knowledge_ev_f                              -0.004932                      0.052759
gamma_evb_environment_agree_f                     -0.034635                     -0.040331
gamma_evb_function_disagree_f                    -9.988e-05                      0.176576
gamma_hhveh_fuel_f                                -0.050053                     -0.035126
gamma_veh_range_f                                 -0.029878                      0.004595
gamma_suv_f                                        0.007494                     -0.272817
                                                b_mileage_f                 b_range_pw1_f
b_no_choice_a                                      0.004273                      0.007375
b_mileage_a                                        0.007165                     -0.034336
b_range_pw1_a                                     3.577e-05                      0.022583
b_range_pw2_a                                      0.001977                     -0.026029
b_range_pw3_a                                    2.6816e-04                      0.004793
b_loss_pw1_a                                       0.007242                     -0.027887
b_loss_pw2_a                                       0.004745                     -0.008170
b_loss_pw3_a                                     5.3180e-04                     -0.001878
b_packreplace_a                                 -6.6140e-04                     -0.014634
b_cellreplace_a                                   -0.005543                      0.012940
b_price_a                                       -3.9404e-04                      0.012230
b_no_choice_b                                     -0.050566                     -0.202820
b_mileage_b                                       -0.045965                     -0.035304
b_range_pw1_b                                     -0.017704                     -0.165510
b_range_pw2_b                                      0.026771                     -0.075626
b_range_pw3_b                                     -0.094713                     -0.212291
b_loss_pw1_b                                      -0.043491                     -0.143686
b_loss_pw2_b                                      -0.034513                     -0.096223
b_loss_pw3_b                                      -0.028214                     -0.071634
b_packreplace_b                                    0.011740                     -0.064020
b_cellreplace_b                                    0.009623                     -0.085922
b_price_b                                         -0.021300                     -0.130950
b_no_choice_c                                      0.016689                      0.533205
b_mileage_c                                       -0.247902                     -0.092016
b_range_pw1_c                                      0.095592                      0.066768
b_range_pw2_c                                      0.019544                     -0.122700
b_range_pw3_c                                     -0.159768                     -0.337986
b_loss_pw1_c                                       0.005789                      0.113201
b_loss_pw2_c                                       0.024322                     -0.089709
b_loss_pw3_c                                      -0.087306                     -0.107870
b_packreplace_c                                   -0.045678                     -0.270834
b_cellreplace_c                                   -0.002422                     -0.159990
b_price_c                                          0.039934                      0.484398
b_no_choice_d                                     -0.098601                     -0.297861
b_mileage_d                                       -0.240746                     -0.039894
b_range_pw1_d                                     -0.098042                     -0.356941
b_range_pw2_d                                      0.078436                      0.039868
b_range_pw3_d                                     -0.002267                     -0.259299
b_loss_pw1_d                                      -0.018133                      0.033890
b_loss_pw2_d                                      -0.004762                      0.035462
b_loss_pw3_d                                      -0.033736                      0.058578
b_packreplace_d                                   -0.172138                      0.073378
b_cellreplace_d                                   -0.147576                      0.115390
b_price_d                                          0.081976                     -0.221164
b_no_choice_e                                     -0.016156                     -0.110690
b_mileage_e                                        0.006907                      0.020144
b_range_pw1_e                                     -0.001997                     -0.173416
b_range_pw2_e                                      0.008838                      0.073599
b_range_pw3_e                                      0.021293                     -0.042940
b_loss_pw1_e                                      -0.016358                     -0.003166
b_loss_pw2_e                                      -0.003813                      0.005904
b_loss_pw3_e                                      -0.012907                      0.026862
b_packreplace_e                                    0.007963                     -0.029414
b_cellreplace_e                                    0.012926                     -0.037784
b_price_e                                         -0.012885                      0.064170
b_no_choice_f                                      0.307789                      0.442863
b_mileage_f                                        1.000000                      0.074904
b_range_pw1_f                                      0.074904                      1.000000
b_range_pw2_f                                     -0.290514                     -0.101410
b_range_pw3_f                                     -0.095427                      0.265814
b_loss_pw1_f                                       0.202724                     -0.204401
b_loss_pw2_f                                      -0.010689                     -0.035836
b_loss_pw3_f                                       0.128108                      0.044984
b_packreplace_f                                    0.194635                      0.086356
b_cellreplace_f                                    0.096914                     -0.125786
b_price_f                                          0.217328                      0.011980
delta_b                                           -0.002970                      0.070178
gamma_EV_rangeanxiety_b                            0.004745                     -0.012397
gamma_risktaker_b                                 -0.006630                      0.001113
gamma_hhincome_b                                  -0.001094                     -0.045252
gamma_ev_charge_b                                 -0.022262                     -0.041791
gamma_knowledge_ev_b                            -7.4056e-04                     -0.017787
gamma_evb_environment_agree_b                     -0.001729                      0.014097
gamma_evb_function_disagree_b                     -0.005262                     -0.039607
gamma_hhveh_fuel_b                                 0.001801                      0.003621
gamma_veh_range_b                                 -0.011708                     -0.082766
gamma_suv_b                                       -0.009918                     -0.071407
delta_c                                           -0.037317                     -0.074312
gamma_EV_rangeanxiety_c                           -0.036956                     -0.064079
gamma_risktaker_c                                 -0.069274                      0.028175
gamma_hhincome_c                                   0.004674                      0.073240
gamma_ev_charge_c                                  0.020947                      0.008100
gamma_knowledge_ev_c                              -0.001571                     -0.060113
gamma_evb_environment_agree_c                      0.075179                      0.050415
gamma_evb_function_disagree_c                     -0.041264                     -0.018375
gamma_hhveh_fuel_c                                 0.031182                     -0.116677
gamma_veh_range_c                                  0.020154                      0.127693
gamma_suv_c                                        0.185049                      0.332910
delta_d                                           -0.004995                      0.076278
gamma_EV_rangeanxiety_d                           -0.002350                     -0.031170
gamma_risktaker_d                                  0.005063                   -5.8257e-04
gamma_hhincome_d                                   0.047773                     -0.077726
gamma_ev_charge_d                                 -0.027666                     -0.037651
gamma_knowledge_ev_d                              -0.036189                     -0.003201
gamma_evb_environment_agree_d                     -0.039104                      0.056027
gamma_evb_function_disagree_d                     -0.050630                     -0.024707
gamma_hhveh_fuel_d                                -0.007664                      0.061875
gamma_veh_range_d                                 -0.021119                     -0.093257
gamma_suv_d                                        0.070862                     -0.051820
delta_e                                           -0.012244                      0.028732
gamma_EV_rangeanxiety_e                            0.002750                     -0.018845
gamma_risktaker_e                                3.5975e-04                      0.013074
gamma_hhincome_e                                   0.004844                     -0.001573
gamma_ev_charge_e                                  0.010270                     -0.016909
gamma_knowledge_ev_e                               0.004377                      0.018084
gamma_evb_environment_agree_e                   -4.3722e-04                     -0.008822
gamma_evb_function_disagree_e                     -0.001025                     -0.030509
gamma_hhveh_fuel_e                                 0.003193                     -0.024609
gamma_veh_range_e                                  0.009058                     -0.041999
gamma_suv_e                                       -0.001945                      0.030942
delta_f                                            0.104903                     -0.014879
gamma_EV_rangeanxiety_f                            0.023319                      0.103782
gamma_risktaker_f                                  0.146474                     -0.025878
gamma_hhincome_f                                  -0.046992                      0.134186
gamma_ev_charge_f                                 -0.005670                      0.072154
gamma_knowledge_ev_f                              -0.026157                      0.090788
gamma_evb_environment_agree_f                     -0.107395                     -0.089875
gamma_evb_function_disagree_f                      0.047575                      0.128332
gamma_hhveh_fuel_f                                -0.081880                     -0.036093
gamma_veh_range_f                                  0.016442                      0.061982
gamma_suv_f                                       -0.303149                     -0.173915
                                              b_range_pw2_f                 b_range_pw3_f
b_no_choice_a                                   -5.0803e-04                     -0.015129
b_mileage_a                                        0.010582                     -0.021130
b_range_pw1_a                                     -0.005316                     -0.001044
b_range_pw2_a                                      0.005113                      0.015256
b_range_pw3_a                                     -0.002039                      0.026760
b_loss_pw1_a                                       0.007032                     -0.015950
b_loss_pw2_a                                       0.002659                      0.012856
b_loss_pw3_a                                    -3.9042e-04                     -0.011741
b_packreplace_a                                    0.005611                      0.001769
b_cellreplace_a                                   -0.003184                      0.007559
b_price_a                                       -4.3930e-04                     -0.024291
b_no_choice_b                                     -0.045972                     -0.052915
b_mileage_b                                       -0.037734                     -0.020487
b_range_pw1_b                                     -0.006375                     -0.056937
b_range_pw2_b                                     -0.102175                     -0.017515
b_range_pw3_b                                      0.055331                     -0.114015
b_loss_pw1_b                                    -3.6258e-04                     -0.039780
b_loss_pw2_b                                       0.007976                     -0.007063
b_loss_pw3_b                                       0.012181                     -0.089997
b_packreplace_b                                    0.015437                     -0.099756
b_cellreplace_b                                    0.006433                     -0.098374
b_price_b                                         -0.097917                      0.013453
b_no_choice_c                                      0.023438                      0.231374
b_mileage_c                                        0.120915                      0.072285
b_range_pw1_c                                     -0.101408                      0.004430
b_range_pw2_c                                     -0.140905                     -0.046231
b_range_pw3_c                                      0.001442                     -0.076652
b_loss_pw1_c                                       0.071173                      0.014943
b_loss_pw2_c                                      -0.053253                     -0.012438
b_loss_pw3_c                                       0.063365                      0.008257
b_packreplace_c                                   -0.005680                     -0.128188
b_cellreplace_c                                   -0.033042                     -0.116584
b_price_c                                          0.091692                      0.273394
b_no_choice_d                                      0.020276                     -0.235695
b_mileage_d                                        0.077077                     -0.044053
b_range_pw1_d                                      0.056029                     -0.103591
b_range_pw2_d                                     -0.203086                     -0.002536
b_range_pw3_d                                      0.009647                     -0.227533
b_loss_pw1_d                                       0.004525                     -0.051255
b_loss_pw2_d                                      -0.018371                      0.109317
b_loss_pw3_d                                       0.047705                      0.024145
b_packreplace_d                                    0.184506                      0.100294
b_cellreplace_d                                    0.140209                      0.113419
b_price_d                                         -0.070523                     -0.371770
b_no_choice_e                                      0.015342                      0.043841
b_mileage_e                                       -0.002491                     -0.005738
b_range_pw1_e                                      0.035816                     -0.080835
b_range_pw2_e                                     -0.036110                      0.061711
b_range_pw3_e                                      0.039941                     -0.206172
b_loss_pw1_e                                       0.016187                    8.3695e-04
b_loss_pw2_e                                       0.002948                     -0.055021
b_loss_pw3_e                                      -0.003680                      0.074497
b_packreplace_e                                   -0.007162                     -0.053722
b_cellreplace_e                                   -0.005261                     -0.029170
b_price_e                                         -0.023886                      0.205029
b_no_choice_f                                     -0.183952                      0.303227
b_mileage_f                                       -0.290514                     -0.095427
b_range_pw1_f                                     -0.101410                      0.265814
b_range_pw2_f                                      1.000000                     -0.183812
b_range_pw3_f                                     -0.183812                      1.000000
b_loss_pw1_f                                      -0.089282                      0.003860
b_loss_pw2_f                                       0.195515                     -0.263604
b_loss_pw3_f                                      -0.186870                     -0.068111
b_packreplace_f                                   -0.222481                      0.041675
b_cellreplace_f                                   -0.080594                     -0.049615
b_price_f                                         -0.270060                     -0.120266
delta_b                                           -0.004634                      0.024656
gamma_EV_rangeanxiety_b                           -0.010531                     -0.007684
gamma_risktaker_b                                 -0.029767                      0.032050
gamma_hhincome_b                                   0.014906                     -0.004731
gamma_ev_charge_b                                  0.015844                     -0.013896
gamma_knowledge_ev_b                              -0.004108                      0.015964
gamma_evb_environment_agree_b                      0.004214                     -0.015937
gamma_evb_function_disagree_b                      0.003571                     -0.035110
gamma_hhveh_fuel_b                                 0.029645                     -0.019860
gamma_veh_range_b                                  0.006243                     -0.041439
gamma_suv_b                                       -0.015367                      0.014204
delta_c                                            0.012742                     -0.005952
gamma_EV_rangeanxiety_c                            0.021099                      0.018077
gamma_risktaker_c                                  0.049113                      0.046496
gamma_hhincome_c                                   0.035428                      0.006386
gamma_ev_charge_c                                  0.014488                      0.002014
gamma_knowledge_ev_c                              -0.011410                     -0.011679
gamma_evb_environment_agree_c                     -0.039793                     -0.025046
gamma_evb_function_disagree_c                      0.023581                     -0.001259
gamma_hhveh_fuel_c                                -0.029596                     -0.078103
gamma_veh_range_c                                 -0.013432                      0.039088
gamma_suv_c                                       -0.076356                      0.012972
delta_d                                           -0.007968                      0.042924
gamma_EV_rangeanxiety_d                          -1.719e-05                     -0.041930
gamma_risktaker_d                                 -0.014330                     -0.018988
gamma_hhincome_d                                   0.008162                     -0.068716
gamma_ev_charge_d                                  0.031198                     -0.003139
gamma_knowledge_ev_d                               0.018389                      0.078127
gamma_evb_environment_agree_d                      0.038585                      0.040617
gamma_evb_function_disagree_d                      0.018121                     -0.029728
gamma_hhveh_fuel_d                                 0.007923                      0.081384
gamma_veh_range_d                                 -0.001880                     -0.062222
gamma_suv_d                                       -0.062975                    2.6074e-04
delta_e                                           -0.010138                      0.045671
gamma_EV_rangeanxiety_e                            0.007564                     -0.024622
gamma_risktaker_e                                  0.003163                      0.024925
gamma_hhincome_e                                   0.012903                      0.017441
gamma_ev_charge_e                                  0.001896                     -0.012564
gamma_knowledge_ev_e                              -0.002928                      0.002410
gamma_evb_environment_agree_e                      0.004972                     -0.022004
gamma_evb_function_disagree_e                      0.005529                     -0.028309
gamma_hhveh_fuel_e                                 0.006494                     -0.034107
gamma_veh_range_e                                  0.009115                     -0.038363
gamma_suv_e                                       -0.019159                     -0.048018
delta_f                                           -0.048197                      0.006063
gamma_EV_rangeanxiety_f                            0.020731                      0.091992
gamma_risktaker_f                                 -0.034922                     -0.192955
gamma_hhincome_f                                  -0.136517                      0.098505
gamma_ev_charge_f                                 -0.039229                      0.005867
gamma_knowledge_ev_f                              -0.031235                     -0.080624
gamma_evb_environment_agree_f                      0.001409                      0.105867
gamma_evb_function_disagree_f                     -0.074018                      0.137995
gamma_hhveh_fuel_f                                 0.069460                     -0.070469
gamma_veh_range_f                                  0.018079                      0.065087
gamma_suv_f                                        0.187123                     -0.005760
                                               b_loss_pw1_f                  b_loss_pw2_f
b_no_choice_a                                     -0.004198                    8.2630e-04
b_mileage_a                                       -0.009500                   -5.6547e-04
b_range_pw1_a                                     -0.005290                      0.002060
b_range_pw2_a                                      0.010306                     -0.006849
b_range_pw3_a                                      0.012523                     -0.007032
b_loss_pw1_a                                      -0.003926                     -0.001910
b_loss_pw2_a                                       0.011199                     -0.007538
b_loss_pw3_a                                      -0.005260                    2.6456e-04
b_packreplace_a                                    0.003967                     -0.004224
b_cellreplace_a                                   -0.001707                   -9.5330e-04
b_price_a                                         -0.003093                      0.005975
b_no_choice_b                                     -0.051462                     -0.070399
b_mileage_b                                       -0.074913                     -0.112894
b_range_pw1_b                                    4.4550e-04                      0.037729
b_range_pw2_b                                   -9.5291e-04                     -0.068953
b_range_pw3_b                                      0.016322                      0.125773
b_loss_pw1_b                                      -0.040850                      0.043286
b_loss_pw2_b                                       0.011257                     -0.017854
b_loss_pw3_b                                      -0.050070                      0.041680
b_packreplace_b                                    0.019685                      0.179062
b_cellreplace_b                                    0.028251                      0.167635
b_price_b                                         -0.067517                     -0.292073
b_no_choice_c                                     -0.065683                     -0.040613
b_mileage_c                                       -0.009068                      0.047742
b_range_pw1_c                                      0.012669                     -0.029633
b_range_pw2_c                                      0.043316                     -0.013469
b_range_pw3_c                                      0.008846                      0.041208
b_loss_pw1_c                                      -0.096350                      0.026708
b_loss_pw2_c                                       0.028372                     -0.105241
b_loss_pw3_c                                       0.018327                      0.050502
b_packreplace_c                                   -0.016361                      0.049227
b_cellreplace_c                                   -0.005729                      0.019051
b_price_c                                         -0.047498                     -0.064033
b_no_choice_d                                      0.012251                      0.086951
b_mileage_d                                        0.005821                      0.078217
b_range_pw1_d                                      0.079541                      0.019841
b_range_pw2_d                                      0.009685                      0.010372
b_range_pw3_d                                      0.053829                      0.064110
b_loss_pw1_d                                      -0.148855                      0.056436
b_loss_pw2_d                                       0.022683                     -0.283584
b_loss_pw3_d                                      -0.050257                      0.016676
b_packreplace_d                                   -0.153140                     -0.146680
b_cellreplace_d                                   -0.113199                     -0.201035
b_price_d                                          0.142015                      0.298802
b_no_choice_e                                      0.003834                     -0.005733
b_mileage_e                                       -0.022605                      0.003779
b_range_pw1_e                                     -0.030089                      0.004425
b_range_pw2_e                                   -7.0741e-04                     -0.010802
b_range_pw3_e                                     -0.013404                      0.033828
b_loss_pw1_e                                      -0.034221                      0.031402
b_loss_pw2_e                                    -6.2191e-04                      0.007904
b_loss_pw3_e                                       0.025301                      0.007449
b_packreplace_e                                   -0.047019                      0.024273
b_cellreplace_e                                   -0.024565                      0.014625
b_price_e                                          0.093880                     -0.052588
b_no_choice_f                                      0.357080                      0.022805
b_mileage_f                                        0.202724                     -0.010689
b_range_pw1_f                                     -0.204401                     -0.035836
b_range_pw2_f                                     -0.089282                      0.195515
b_range_pw3_f                                      0.003860                     -0.263604
b_loss_pw1_f                                       1.000000                     -0.328375
b_loss_pw2_f                                      -0.328375                      1.000000
b_loss_pw3_f                                       0.201173                     -0.233437
b_packreplace_f                                    0.186185                     -0.055366
b_cellreplace_f                                    0.036863                      0.203487
b_price_f                                          0.271024                      0.124059
delta_b                                           -0.009479                     -0.005430
gamma_EV_rangeanxiety_b                            0.002379                     -0.018077
gamma_risktaker_b                                 -0.008349                     -0.105639
gamma_hhincome_b                                   0.008576                     -0.027998
gamma_ev_charge_b                                  0.019355                      0.034477
gamma_knowledge_ev_b                              -0.011215                     -0.011312
gamma_evb_environment_agree_b                      0.029511                      0.053596
gamma_evb_function_disagree_b                     -0.003398                      0.040747
gamma_hhveh_fuel_b                                 0.014959                      0.089252
gamma_veh_range_b                                 -0.008874                      0.050653
gamma_suv_b                                        0.012360                     -0.053367
delta_c                                            0.019622                      0.009891
gamma_EV_rangeanxiety_c                            0.003911                     -0.006671
gamma_risktaker_c                                 -0.030174                   -1.4781e-04
gamma_hhincome_c                                  -0.014433                      0.020888
gamma_ev_charge_c                                 -0.005171                     -0.017349
gamma_knowledge_ev_c                               0.005047                     -0.018047
gamma_evb_environment_agree_c                      0.022174                     -0.030449
gamma_evb_function_disagree_c                     -0.002846                      0.027227
gamma_hhveh_fuel_c                                 0.014178                      0.002470
gamma_veh_range_c                                 -0.020050                      0.008191
gamma_suv_c                                       -0.020442                     -0.034590
delta_d                                           -0.036904                     -0.063764
gamma_EV_rangeanxiety_d                            0.002929                      0.022927
gamma_risktaker_d                                  0.057181                      0.027752
gamma_hhincome_d                                   0.055983                      0.092636
gamma_ev_charge_d                                  0.006561                     -0.001051
gamma_knowledge_ev_d                               0.001607                     -0.029003
gamma_evb_environment_agree_d                     -0.012483                     -0.066361
gamma_evb_function_disagree_d                     -0.032956                      0.027217
gamma_hhveh_fuel_d                                -0.039225                     -0.073043
gamma_veh_range_d                                  0.006602                      0.085229
gamma_suv_d                                        0.062482                      0.049217
delta_e                                            0.011780                     -0.005750
gamma_EV_rangeanxiety_e                           -0.003333                     -0.003128
gamma_risktaker_e                                  0.012332                     -0.014583
gamma_hhincome_e                                   0.013200                     -0.009962
gamma_ev_charge_e                                  0.006358                     -0.007001
gamma_knowledge_ev_e                              -0.004716                   -5.8704e-04
gamma_evb_environment_agree_e                   -5.0450e-04                      0.011745
gamma_evb_function_disagree_e                     -0.016007                      0.004231
gamma_hhveh_fuel_e                                -0.013507                      0.006915
gamma_veh_range_e                                 -0.014761                      0.013342
gamma_suv_e                                       -0.021893                      0.006465
delta_f                                            0.082607                      0.141138
gamma_EV_rangeanxiety_f                            0.002976                     -0.043185
gamma_risktaker_f                                 -0.005640                      0.135023
gamma_hhincome_f                                  -0.044379                     -0.204762
gamma_ev_charge_f                                 -0.039258                     -0.007059
gamma_knowledge_ev_f                              -0.029904                      0.095899
gamma_evb_environment_agree_f                     -0.093752                      0.036645
gamma_evb_function_disagree_f                      0.073076                     -0.126586
gamma_hhveh_fuel_f                                -0.065094                     -0.021415
gamma_veh_range_f                                  0.038137                     -0.258485
gamma_suv_f                                       -0.076743                      0.002820
                                               b_loss_pw3_f               b_packreplace_f
b_no_choice_a                                      0.001892                     9.236e-05
b_mileage_a                                       -0.010929                     -0.012818
b_range_pw1_a                                      0.007531                      0.003667
b_range_pw2_a                                     -0.013203                     -0.002429
b_range_pw3_a                                     -0.006667                      0.003020
b_loss_pw1_a                                      -0.007445                     -0.007227
b_loss_pw2_a                                      -0.012952                    7.4236e-04
b_loss_pw3_a                                       0.001602                     -0.002276
b_packreplace_a                                   -0.008358                     -0.005488
b_cellreplace_a                                    0.002631                     -0.001082
b_price_a                                          0.007616                      0.003132
b_no_choice_b                                     -0.059897                     -0.025534
b_mileage_b                                       -0.061335                      0.028066
b_range_pw1_b                                     -0.009913                     -0.007206
b_range_pw2_b                                     -0.028014                      0.005634
b_range_pw3_b                                      0.011156                     -0.066090
b_loss_pw1_b                                      -0.033007                     -0.044301
b_loss_pw2_b                                       0.020518                     -0.018952
b_loss_pw3_b                                      -0.068646                     -0.048081
b_packreplace_b                                    0.069129                     -0.040510
b_cellreplace_b                                    0.062168                     -0.016674
b_price_b                                         -0.108698                     -0.016351
b_no_choice_c                                      0.040021                      0.047355
b_mileage_c                                       -0.035821                     -0.106600
b_range_pw1_c                                      0.022176                      0.070663
b_range_pw2_c                                      0.016173                      0.027624
b_range_pw3_c                                     -0.020982                     -0.101310
b_loss_pw1_c                                      -0.011296                     -0.025495
b_loss_pw2_c                                       0.007854                      0.008583
b_loss_pw3_c                                      -0.095008                     -0.041601
b_packreplace_c                                  2.9520e-04                     -0.166008
b_cellreplace_c                                    0.011532                     -0.112956
b_price_c                                          0.009935                      0.062468
b_no_choice_d                                      0.072614                     -0.149685
b_mileage_d                                        0.028909                     -0.052837
b_range_pw1_d                                      0.024337                     -0.083425
b_range_pw2_d                                      0.049819                      0.110017
b_range_pw3_d                                      0.016850                     -0.018311
b_loss_pw1_d                                       0.016509                     -0.050160
b_loss_pw2_d                                      -0.046483                     -0.026976
b_loss_pw3_d                                      -0.131282                     -0.035611
b_packreplace_d                                   -0.149433                     -0.375103
b_cellreplace_d                                   -0.155028                     -0.332361
b_price_d                                          0.213161                     -0.022728
b_no_choice_e                                     -0.031401                     -0.015466
b_mileage_e                                        0.009791                      0.007054
b_range_pw1_e                                     -0.035747                     -0.045630
b_range_pw2_e                                      0.018044                      0.022056
b_range_pw3_e                                     -0.004881                     -0.006095
b_loss_pw1_e                                       0.002047                     -0.010843
b_loss_pw2_e                                       0.027326                      0.003208
b_loss_pw3_e                                      -0.015642                      0.026410
b_packreplace_e                                    0.024246                     -0.010028
b_cellreplace_e                                    0.019917                      0.019815
b_price_e                                         -0.025192                      0.031391
b_no_choice_f                                      0.166208                      0.402144
b_mileage_f                                        0.128108                      0.194635
b_range_pw1_f                                      0.044984                      0.086356
b_range_pw2_f                                     -0.186870                     -0.222481
b_range_pw3_f                                     -0.068111                      0.041675
b_loss_pw1_f                                       0.201173                      0.186185
b_loss_pw2_f                                      -0.233437                     -0.055366
b_loss_pw3_f                                       1.000000                      0.060560
b_packreplace_f                                    0.060560                      1.000000
b_cellreplace_f                                    0.039310                      0.708848
b_price_f                                          0.250235                      0.324239
delta_b                                           -0.004393                    -1.136e-05
gamma_EV_rangeanxiety_b                           -0.002053                      0.002900
gamma_risktaker_b                                 -0.028194                      0.016203
gamma_hhincome_b                                -5.5208e-04                     -0.002427
gamma_ev_charge_b                                  0.003242                   -3.1557e-04
gamma_knowledge_ev_b                              -0.010802                      0.003970
gamma_evb_environment_agree_b                      0.037272                     -0.001727
gamma_evb_function_disagree_b                      0.014744                     -0.033232
gamma_hhveh_fuel_b                                 0.026519                      0.004955
gamma_veh_range_b                                 -0.001745                     -0.017793
gamma_suv_b                                       -0.002205                     -0.012817
delta_c                                            0.002978                     -0.015703
gamma_EV_rangeanxiety_c                           -0.026762                     -0.016297
gamma_risktaker_c                                 -0.010291                     -0.041828
gamma_hhincome_c                                   0.014388                      0.002614
gamma_ev_charge_c                                 -0.007558                      0.012246
gamma_knowledge_ev_c                              -0.049972                      0.004066
gamma_evb_environment_agree_c                      0.018559                      0.040911
gamma_evb_function_disagree_c                      0.004930                     -0.013688
gamma_hhveh_fuel_c                                -0.009742                      0.001554
gamma_veh_range_c                                  0.021609                      0.010422
gamma_suv_c                                        0.057044                      0.093292
delta_d                                           -0.030287                      0.036971
gamma_EV_rangeanxiety_d                            0.004262                     -0.014463
gamma_risktaker_d                                  0.038147                      0.022961
gamma_hhincome_d                                   0.075417                     -0.004982
gamma_ev_charge_d                                 -0.016592                     -0.018053
gamma_knowledge_ev_d                              -0.048838                      0.010375
gamma_evb_environment_agree_d                     -0.033886                     -0.070255
gamma_evb_function_disagree_d                      0.014994                     -0.071322
gamma_hhveh_fuel_d                                -0.043198                     -0.016199
gamma_veh_range_d                                  0.026214                     -0.053767
gamma_suv_d                                        0.042014                      0.097831
delta_e                                            0.008265                      0.004703
gamma_EV_rangeanxiety_e                           -0.005877                     -0.001930
gamma_risktaker_e                                 -0.009049                      0.001386
gamma_hhincome_e                                  -0.013153                     -0.001359
gamma_ev_charge_e                                 -0.003330                      0.005550
gamma_knowledge_ev_e                              -0.001976                      0.005657
gamma_evb_environment_agree_e                      0.007854                      0.009278
gamma_evb_function_disagree_e                      0.003910                     -0.011579
gamma_hhveh_fuel_e                                -0.004217                     -0.004562
gamma_veh_range_e                                 -0.007618                     -0.009320
gamma_suv_e                                        0.026603                     -0.017962
delta_f                                            0.079869                      0.010722
gamma_EV_rangeanxiety_f                           -0.003842                      0.021306
gamma_risktaker_f                                  0.117383                     -0.032821
gamma_hhincome_f                                  -0.076491                      0.014885
gamma_ev_charge_f                                 -0.033021                      0.001171
gamma_knowledge_ev_f                               0.138514                     -0.010288
gamma_evb_environment_agree_f                     -0.050598                      0.017048
gamma_evb_function_disagree_f                     -0.049706                      0.170478
gamma_hhveh_fuel_f                                -0.063902                      0.001298
gamma_veh_range_f                                 -0.045243                      0.042673
gamma_suv_f                                       -0.078415                     -0.187968
                                            b_cellreplace_f                     b_price_f
